token ID,tsne_x,tsne_y,action,metric_category,count,time_diff
809,70.1,-0.1,Report viewed-ED Procedure Note,Chart Review,262,0.767902433
803,66.7,2.8,Report viewed-nan,Chart Review,262,2.146576151
1049,79.3,2.8,Report viewed-CTO PATIENT SUMMARY WITH ROUNDING INFO,Chart Review,261,0.647746443
690,69.7,-0.9,Report viewed-ED Notes,Chart Review,208,0.791336616
862,70.7,3.3,Report viewed-HKU CARE TEAM,Chart Review,203,1.330731333
974,67.0,9.2,Report viewed-HKU IB CC CHARTS COMM MESSAGE REPORT,Chart Review,174,0.096154763
927,71.0,-0.4,Report viewed-ED Re-evaluation Note,Chart Review,166,1.233012486
1046,68.1,6.0,Canto login success-nan,,149,0.11581653
981,70.7,4.9,Active Medications viewed-nan,,135,1.371208289
476,72.8,0.4,Report viewed-HKU IP ENCOUNTER REPORT,Chart Review,131,1.110145063
707,75.1,-0.3,Report viewed-Anesthesia Preprocedure Evaluation,Chart Review,102,0.867495179
681,71.5,3.3,Mobile patient dictation accessed-nan,,100,0.192929934
1163,73.2,-3.5,Report viewed-OPH HKU OP ENCOUNTER REPORT,Chart Review,99,1.321340952
1081,79.6,0.5,Report viewed-CTO ORDER RESULTS,Chart Review,88,0.306844953
816,75.9,-1.2,Report viewed-Anesthesia Procedure Notes,Chart Review,86,0.39934784
834,75.9,-0.3,Report viewed-Anesthesia Postprocedure Evaluation,Chart Review,86,0.429040257
692,75.5,5.1,Care Everywhere Documents viewed-nan,,76,0.224478847
765,75.0,-2.1,Report viewed-Op Note,Chart Review,74,0.728602897
397,67.7,9.0,Report viewed-HKU IB CC CHARTS CR ENCOUNTERS REPORT,Chart Review,71,0.019281973
691,75.4,5.0,Care Everywhere Summaries viewed-nan,,69,0.008025507
780,72.5,4.3,Report viewed-CTO PATIENT MEDICATIONS REPORT,Chart Review,56,0.635742603
898,74.7,-1.1,Report viewed-Medical Student,Chart Review,56,0.624796311
791,74.1,0.7,Report viewed-HKU HOV ENCOUNTER REPORT,Chart Review,52,0.191354337
412,73.2,-1.0,Report viewed-OR HKU HP INTERVAL NOTE REPORT,Chart Review,52,0.490748168
811,76.2,2.0,Intraprocedure Events viewed-nan,,50,0.004626771
812,76.8,2.4,Report viewed-AN Mobile Preprocedure Report,Chart Review,49,0.189685185
926,75.9,2.9,Charges Overview report viewed-nan,,43,0.136802917
970,75.2,2.2,Report viewed-HKU RESHANDOFF ROUNDING REPORT,Chart Review,42,0.500929635
867,72.6,2.8,Report viewed-HKU QUEUED ORDER REPORT,Chart Review,34,0.186043318
1337,78.2,-0.3,View Mobile Handoff List Activity-nan,,34,0.108414707
1043,68.1,9.5,Report viewed-HKU IB CC CHARTS MISC,Chart Review,30,0.004851283
887,72.3,5.7,iOS Screenshot Taken-nan,,27,0.285583455
1015,77.0,0.5,Report viewed-Pre-Sedation Documentation,Chart Review,24,0.095784079
1047,68.2,8.4,Report viewed-HKU IB PT ADVICE REQUEST,Chart Review,24,0.004269125
1085,78.7,1.2,Report viewed-CTO OP ENCOUNTER REPORT,Chart Review,22,0.026952266
1048,79.2,2.3,Report viewed-CTO ENC - THIS VISIT,Chart Review,21,0.030404207
1040,76.3,0.8,Report viewed-Initial Assessments,Chart Review,19,0.233520693
